timestamp,x,y,scale
2023-08-01 20:33:26,100,720,0
2023-08-01 20:33:26,100,721,0
2023-08-01 20:33:26,100,722,0
2023-08-01 20:33:26,100,723,0
2023-08-01 20:33:26,100,724,0
2023-08-01 20:33:26,100,725,0
2023-08-01 20:33:26,100,726,0
2023-08-01 20:33:26,100,727,0
2023-08-01 20:33:27,105,724,0
2023-08-01 20:33:27,106,722,0
2023-08-01 20:33:27,107,721,0
2023-08-01 20:33:27,107,719,0
2023-08-01 20:33:27,107,717,0
2023-08-01 20:33:27,107,716,0
2023-08-01 20:33:27,108,714,0
2023-08-01 20:33:27,109,713,0
2023-08-01 20:33:27,109,711,0
2023-08-01 20:33:27,109,709,0
2023-08-01 20:33:27,110,708,0
2023-08-01 20:33:27,110,705,0
2023-08-01 20:33:27,111,704,0
2023-08-01 20:33:27,112,702,0
2023-08-01 20:33:27,112,701,0
2023-08-01 20:33:27,112,699,1
2023-08-01 20:33:27,113,698,1
2023-08-01 20:33:27,113,697,1
2023-08-01 20:33:27,113,695,1
2023-08-01 20:33:27,113,694,1
2023-08-01 20:33:27,113,693,1
2023-08-01 20:33:27,113,692,1
2023-08-01 20:33:27,113,691,1
2023-08-01 20:33:27,114,691,1
2023-08-01 20:33:27,114,689,1
2023-08-01 20:33:27,115,688,1
2023-08-01 20:33:27,115,687,1
2023-08-01 20:33:27,115,686,1
2023-08-01 20:33:27,115,685,1
2023-08-01 20:33:27,115,684,1
2023-08-01 20:33:27,115,683,1
2023-08-01 20:33:27,115,681,1
2023-08-01 20:33:27,115,680,1
2023-08-01 20:33:27,115,679,1
2023-08-01 20:33:27,116,678,1
2023-08-01 20:33:27,117,675,1
2023-08-01 20:33:27,117,674,1
2023-08-01 20:33:27,117,672,1
2023-08-01 20:33:27,118,670,1
2023-08-01 20:33:27,118,669,1
2023-08-01 20:33:27,119,668,1
2023-08-01 20:33:27,119,667,1
2023-08-01 20:33:27,120,666,1
2023-08-01 20:33:27,120,665,1
2023-08-01 20:33:27,120,664,1
2023-08-01 20:33:27,121,663,1
2023-08-01 20:33:27,121,662,1
2023-08-01 20:33:27,122,660,1
2023-08-01 20:33:27,123,658,1
2023-08-01 20:33:27,124,657,1
2023-08-01 20:33:27,125,653,1
2023-08-01 20:33:27,128,650,1
2023-08-01 20:33:27,129,649,1
2023-08-01 20:33:27,130,645,1
2023-08-01 20:33:27,132,643,1
2023-08-01 20:33:27,133,640,1
2023-08-01 20:33:27,134,638,1
2023-08-01 20:33:27,135,636,1
2023-08-01 20:33:27,137,631,1
2023-08-01 20:33:27,137,627,1
2023-08-01 20:33:27,138,623,1
2023-08-01 20:33:27,139,621,1
2023-08-01 20:33:27,140,618,1
2023-08-01 20:33:27,141,614,1
2023-08-01 20:33:27,141,612,1
2023-08-01 20:33:27,142,608,1
2023-08-01 20:33:27,144,603,1
2023-08-01 20:33:27,145,601,1
2023-08-01 20:33:27,145,598,1
2023-08-01 20:33:27,146,595,1
2023-08-01 20:33:27,147,594,1
2023-08-01 20:33:27,148,591,1
2023-08-01 20:33:27,149,589,1
2023-08-01 20:33:27,150,587,1
2023-08-01 20:33:27,150,586,1
2023-08-01 20:33:27,150,584,1
2023-08-01 20:33:28,151,583,1
2023-08-01 20:33:28,151,582,1
2023-08-01 20:33:28,152,581,1
2023-08-01 20:33:28,152,580,1
2023-08-01 20:33:28,152,579,1
2023-08-01 20:33:28,152,577,1
2023-08-01 20:33:28,153,576,1
2023-08-01 20:33:28,153,574,1
2023-08-01 20:33:28,154,573,1
2023-08-01 20:33:28,154,572,1
2023-08-01 20:33:28,154,571,1
2023-08-01 20:33:28,154,570,1
2023-08-01 20:33:28,154,569,1
2023-08-01 20:33:28,154,568,1
2023-08-01 20:33:28,154,567,1
2023-08-01 20:33:28,154,565,1
2023-08-01 20:33:28,154,562,1
2023-08-01 20:33:28,153,560,1
2023-08-01 20:33:28,153,557,1
2023-08-01 20:33:28,152,555,1
2023-08-01 20:33:28,151,552,1
2023-08-01 20:33:28,150,549,2
2023-08-01 20:33:28,150,548,2
